driveruuid,week_date,Acceptance rate,Cancellation rate
f2c89862-5ac2-46ed-887f-e84b0105d3a4,11/29/2021,0.4,0.04
43d997ed-0f61-4f2e-9b3a-8d8fccadac37,11/29/2021,0.49,0.05
39a93eed-1532-4233-bfcd-a5bb02e1f92c,11/29/2021,0.82,0.12
aa05f6a1-8660-4113-a6c1-9e9bf82093c4,11/29/2021,0.41,0.11
07e356ec-3be2-48f4-8bd7-443259321469,11/29/2021,0.21,0.05
f461930b-f3b0-42a2-989d-21551dd730ad,11/29/2021,0.52,0.04
02671632-5f0f-4c90-9f12-3e2c4bfb6047,11/29/2021,0.44,0.06
cc955133-9e3a-4959-bc22-4eebe4236412,11/29/2021,0.82,0.05
f8acbfc6-dbf5-42ec-9ae2-64c90874d815,11/29/2021,0.86,0.12
7894e94d-6a17-4814-8064-c5e779834dca,11/29/2021,0.44,0.12
ab0c2d68-737b-4b39-a2bd-a57068184096,11/29/2021,0.69,0.11
ecf58a3a-6150-4f48-9e24-185c02b00c0f,11/29/2021,0.61,0.07
622b18b7-3b97-43fa-adbd-1fc73ed9573e,11/29/2021,0.67,0.16
7ecefda1-38e8-4dfc-bd0b-26086d109c85,11/29/2021,0.27,0
fcd39e00-30e7-4893-9a26-907e29d33f22,11/29/2021,0.97,0.07
7e574e04-e42e-4b40-b9bc-e4fc99f92822,11/29/2021,0.67,0
4e174a23-5fcb-46f7-ad15-1d726129a541,11/29/2021,0.63,0.04
d5b92e0a-b71d-4fe4-9590-c784e402246a,11/29/2021,0.62,0.07
38672f8a-80f5-4d99-8bc2-687bf3bbbc6c,11/29/2021,0.3,0.03
8b58fe38-1968-41e3-ae48-581e0bf98a2b,11/29/2021,0.33,0.07
e4849005-bd6f-4c44-bfb5-09c0a70c672c,11/29/2021,0.88,0.07
a98816f6-2b91-4712-88f8-6a59f1fcb8f7,11/29/2021,0.33,0.04
4e7ce887-6332-4c87-883b-2704ca6279ee,11/29/2021,0.23,0.02
7cf1aede-04ed-4eb1-9f71-ba1fd95b5dfd,11/29/2021,0.81,0.38
9e7cb1a7-b0ef-46b7-9358-0e08a57133ad,11/29/2021,0.55,0.1
1e2a43b1-10c7-4530-8582-9004904da430,11/29/2021,0.57,0.08
38892d97-929e-419b-8e77-28ead1e48ba9,11/29/2021,0.71,0.07
dd4c536a-7a0f-47d8-a2cd-8bac1938af4a,11/29/2021,0.48,0.1
77e1eae2-e66e-4aaa-8fc5-6f0c0b02489e,11/29/2021,0.64,0.19
34e8476d-0af3-4470-ac87-9889108f6e8f,11/29/2021,0.83,0.15
be275976-4a8e-40bf-8213-2c587daf70f1,11/29/2021,0.46,0.17
71ed57b7-5990-4be1-9e7c-86c2d579dba0,11/29/2021,0.62,0.06
603bd454-a283-4860-b661-4e3ef464b0d2,11/29/2021,0.82,0.08
795d9d2a-a0fc-414d-b619-f17396891511,11/29/2021,0.86,0.03
e9bb15c1-dbeb-45e4-b090-0136d3b34404,11/29/2021,1,0.67
1875f7cb-c20f-4032-8deb-c49d1e6cea2e,11/29/2021,0.64,0.09
b3a10083-8fb4-4c47-8bf7-b3a4404cbcdd,11/29/2021,0.25,0.03
81b9d9dd-01e6-4902-accc-3cf982584584,11/29/2021,0.35,0.08
ba7e93c8-b2f8-4877-b5a9-3f23a39533e2,11/29/2021,0.59,0.09
08f7a590-fed1-4df5-9509-b951bce99408,11/29/2021,0.61,0.04
ebe841ff-c9dd-4477-bdea-cba1ecf27f36,11/29/2021,0.72,0.14
642190f4-6e94-464d-b722-af7053996efe,11/29/2021,0.84,0.06
0cae36d8-3521-4112-bbeb-a937995f220c,11/29/2021,0.51,0.06
ad704b7b-12c7-4f01-9610-3e6e298f3452,11/29/2021,0.77,0.09
37e4b055-d577-4400-8fd1-274f30d71edc,11/29/2021,0.33,0.06
d78e93e4-33a8-4026-9f1e-cf8af8d94331,11/29/2021,0.65,0.12
5c22280d-5979-4ca7-99a1-86b5dd3f985c,11/29/2021,0.79,0.14
62f06879-9a1a-435b-a915-c1dd2c5ebfd5,11/29/2021,0.26,0.07
2f39e80c-1d86-4bd3-a9ac-ea21e1f35dbc,11/29/2021,0.78,0.07
4378e378-898e-43fd-a1c8-0f22d59621e8,11/29/2021,0.41,0.08
d1326348-cea6-4e6b-bf82-b536959797ad,11/29/2021,0.69,0.05
0bd4c66a-edb4-4b46-b789-903fec02357b,11/29/2021,0.37,0.04
5dd17596-5fbf-45e0-83fc-03051c652f3e,11/29/2021,0.79,0.06
33e193cf-2ae5-4763-a586-7d90d15746ca,11/29/2021,0.57,0.08
c4328d0c-7df6-458b-9ee3-c355a0489473,11/29/2021,0.47,0.04
64b1af9b-1e55-470d-85db-341ad457c1c9,11/29/2021,0.35,0.03
73e127c0-dd7f-4637-8126-ae278fade6cf,11/29/2021,0.61,0.06
7ea0bde7-40e4-4e95-b783-1e2baf776393,11/29/2021,0.67,0.1
92679160-f742-4424-a6df-b6424ee49c81,11/29/2021,0.71,0.1
b5d818d9-f75f-48d5-8bb2-092e8ced6624,11/29/2021,0.91,0.09
18306656-762e-484f-8fb9-f363082beee5,11/29/2021,0.53,0.1
684e978b-efc4-4507-a42b-12f8d5b1d842,11/29/2021,0.8,0.04
72726042-8296-4d3e-8e92-b3af8796cadf,11/29/2021,0.95,0.04
cecb38c2-dce3-4913-9377-a64e343cf1b8,11/29/2021,0.48,0.15
2ecba62e-b89d-43bd-a5e9-5fb29d7a28f0,11/29/2021,0.52,0.04
1922032d-26ad-469d-8747-75dc05d5c491,11/29/2021,0.33,0.04
5712a5e8-5ea7-4eb1-adc2-2b20189635ed,11/29/2021,0.75,0.1
be042639-a971-4776-95f4-fc9f30037c10,11/29/2021,0.74,0.06
4ecf9a1e-c057-42ad-ba2f-7c7a4899b97f,11/29/2021,0.47,0.09
62588413-4dad-4b90-93e4-819f63bdae67,11/29/2021,0.7,0.06
64923075-5efb-4956-9b69-3b888ad7678e,11/29/2021,0.72,0.08
fc566d15-8f50-45e5-b053-dbacc66156b8,11/29/2021,0.87,0.3
2381265f-c6b6-4eed-b612-05be3016ce84,11/29/2021,0.63,0.11
64d16747-31a1-4ba2-9e92-0107b7d6bdcd,11/29/2021,0.41,0.07
c596538a-c369-4e99-bc47-8619c87ba857,11/29/2021,0.65,0.05
a1446a7d-2373-4286-b148-572dbc29cc4b,11/29/2021,0.7,0.09
39c5f6d9-7c79-415c-93d9-0ebfc8e44333,11/29/2021,0.45,0.02
07422c3d-4a75-4e11-b477-e5e71ebccb2b,11/29/2021,0.8,0.06
828ab3a8-b5b4-4465-90d9-f1c1eaa4b08b,11/29/2021,0.45,0.14
aa0c2e75-7b43-49a2-9249-b931436539b2,11/29/2021,0.41,0.15
f0b2c986-33c9-421d-b6af-58992d1e96fe,11/29/2021,0.68,0.11
e568f1b6-230d-4f02-9a48-b3b1f6abe06c,11/29/2021,0.64,0.16
2fd50bf2-e158-4ea6-a6d4-12131d322374,11/29/2021,0.57,0.2
f635fe03-ca19-46c2-be6a-e7d0ed94ba26,11/29/2021,0.39,0.1
dd164ab0-f7f4-4507-bdc1-a30f5e99d087,11/29/2021,0.44,0.02
405d3aa0-9a4f-4078-9897-1aeb99a83d76,11/29/2021,0.55,0.03
dd8bb6bd-e554-4aba-8b43-c80b1a54ba75,11/29/2021,0.6,0.18
60e24218-a9cd-4344-a79e-ddbc78345e34,11/29/2021,0.85,0.05
1c91b39f-dd34-4a88-90a2-88c75dd4c286,11/29/2021,0.58,0.06
52fb4a5c-dd17-44af-b100-6e184f842f00,11/29/2021,0.66,0.05
391efe5a-fabf-43bd-a5e7-6f7ace587bd2,11/29/2021,0.59,0.15
071ca342-a7f2-4ce9-84bc-11ee161d5705,11/29/2021,0.27,0.04
10374e3b-1a64-4f83-86f6-56a0707cfb4d,11/29/2021,0.57,0.09
0d75521b-a24f-4c4e-be7b-df0bb30a9dff,11/29/2021,0.85,0.15
2285677b-2537-479b-8a59-c28382950172,11/29/2021,1,0.1
801589ab-55c1-48e4-962d-2e6478d895a3,11/29/2021,0.6,0.05
03e58d6e-0265-4b6f-9b81-2f272a8b2169,11/29/2021,0.76,0.13
f9488aad-3b63-48bb-b65a-6f821ffd7fb6,11/29/2021,0.47,0.14
230c214d-5f88-44dc-92b6-f9622ef1bce4,11/29/2021,0.66,0.13
c34b2754-b2cb-425b-a60d-de89fa45cce3,11/29/2021,0.42,0.02
27b43006-eaa1-4cab-9d4d-7d964ff20c01,11/29/2021,0.6,0.03
05b21f09-82bd-4700-b129-2924d9caa0c8,11/29/2021,0.68,0.1
405d3aa0-9a4f-4078-9897-1aeb99a83d76,12/6/2021,0.41,0.06
f68b9f60-5b50-49d1-9617-a081765fd6ac,12/6/2021,0.6,0.09
2f39e80c-1d86-4bd3-a9ac-ea21e1f35dbc,12/6/2021,0.77,0.12
cefa509f-c3db-4a0a-a591-436cda98f832,12/6/2021,0.91,0.03
0bd4c66a-edb4-4b46-b789-903fec02357b,12/6/2021,0.39,0.04
0c219f52-1435-4b21-994a-6a3bd25d974e,12/6/2021,0.58,0.07
391efe5a-fabf-43bd-a5e7-6f7ace587bd2,12/6/2021,0.6,0.12
73e127c0-dd7f-4637-8126-ae278fade6cf,12/6/2021,0.71,0.07
c0f9c90a-44fa-4249-a8a3-7629576c1d0e,12/6/2021,0.61,0.05
38892d97-929e-419b-8e77-28ead1e48ba9,12/6/2021,0.77,0.12
23767254-acb5-4577-b91d-899f148305b7,12/6/2021,0.41,0.05
03e58d6e-0265-4b6f-9b81-2f272a8b2169,12/6/2021,0.8,0.15
230c214d-5f88-44dc-92b6-f9622ef1bce4,12/6/2021,0.44,0.06
b5d818d9-f75f-48d5-8bb2-092e8ced6624,12/6/2021,0.92,0.04
315b1906-7c4a-4c88-ae96-5078475a0d1a,12/6/2021,0.27,0.03
10331f84-271a-4d04-87db-c1f06705b140,12/6/2021,0.55,0.09
cecb38c2-dce3-4913-9377-a64e343cf1b8,12/6/2021,0.49,0.14
1875f7cb-c20f-4032-8deb-c49d1e6cea2e,12/6/2021,0.62,0.08
1922032d-26ad-469d-8747-75dc05d5c491,12/6/2021,0.4,0.01
c2f9941e-737e-428b-b2a1-ea034759bb0f,12/6/2021,0.67,0.03
62588413-4dad-4b90-93e4-819f63bdae67,12/6/2021,0.77,0.05
64923075-5efb-4956-9b69-3b888ad7678e,12/6/2021,0.61,0.11
81b9d9dd-01e6-4902-accc-3cf982584584,12/6/2021,0.34,0.05
6fbd88da-fc22-4f26-b7ea-79e70a7b7f27,12/6/2021,0.55,0.12
1628d416-3002-4cec-8f38-1453b708e531,12/6/2021,0.74,0.04
43d997ed-0f61-4f2e-9b3a-8d8fccadac37,12/6/2021,0.53,0.05
7043246b-2b90-4673-ba40-920dc13eb064,12/6/2021,0.76,0.09
07e356ec-3be2-48f4-8bd7-443259321469,12/6/2021,0.31,0.14
828ab3a8-b5b4-4465-90d9-f1c1eaa4b08b,12/6/2021,0.51,0.15
ba7e93c8-b2f8-4877-b5a9-3f23a39533e2,12/6/2021,0.49,0.06
7894e94d-6a17-4814-8064-c5e779834dca,12/6/2021,0.49,0.1
08f7a590-fed1-4df5-9509-b951bce99408,12/6/2021,0.57,0.07
ab0c2d68-737b-4b39-a2bd-a57068184096,12/6/2021,0.7,0.08
ecf58a3a-6150-4f48-9e24-185c02b00c0f,12/6/2021,0.68,0.11
0cae36d8-3521-4112-bbeb-a937995f220c,12/6/2021,0.52,0.04
99e0998d-8450-4e08-a69a-91fdbfb2881c,12/6/2021,0.35,0.02
9dc18c52-52d1-492e-a951-961da5bd2c55,12/6/2021,0.97,0.04
42d1861f-7e1c-4d83-b912-84a7351870c4,12/6/2021,0.94,0.1
5070b315-eba0-4478-bd47-2fc1318bec56,12/6/2021,0.9,0.06
d1326348-cea6-4e6b-bf82-b536959797ad,12/6/2021,0.68,0.05
4e174a23-5fcb-46f7-ad15-1d726129a541,12/6/2021,0.64,0.05
0c09298b-4156-483c-b8ca-f7bff13693d3,12/6/2021,0.62,0.11
3e54b77a-edb6-4ef5-bc18-3a777cdc4159,12/6/2021,0.59,0.08
5dd17596-5fbf-45e0-83fc-03051c652f3e,12/6/2021,0.66,0.06
d5b92e0a-b71d-4fe4-9590-c784e402246a,12/6/2021,0.45,0.04
33e193cf-2ae5-4763-a586-7d90d15746ca,12/6/2021,0.53,0.03
38672f8a-80f5-4d99-8bc2-687bf3bbbc6c,12/6/2021,0.33,0.05
8b58fe38-1968-41e3-ae48-581e0bf98a2b,12/6/2021,0.42,0.05
64b1af9b-1e55-470d-85db-341ad457c1c9,12/6/2021,0.42,0.05
7e770f9d-e3e7-4cf7-9790-80948d1f1ca7,12/6/2021,0.52,0.04
a98816f6-2b91-4712-88f8-6a59f1fcb8f7,12/6/2021,0.33,0.04
1e2a43b1-10c7-4530-8582-9004904da430,12/6/2021,0.56,0.1
9e7cb1a7-b0ef-46b7-9358-0e08a57133ad,12/6/2021,0.49,0.1
2285677b-2537-479b-8a59-c28382950172,12/6/2021,0.98,0.07
d0233aeb-ef6b-4576-a686-6d268a3e1edf,12/6/2021,0.59,0.07
67708ccc-f79e-4fa4-9e07-bf70ef8f59e8,12/6/2021,0.46,0.06
dd4c536a-7a0f-47d8-a2cd-8bac1938af4a,12/6/2021,0.56,0.1
77e1eae2-e66e-4aaa-8fc5-6f0c0b02489e,12/6/2021,0.67,0.18
067be17a-38d3-4a03-89f6-8755902ded15,12/6/2021,0.52,0.05
ef28088d-577c-444a-9198-53d9223ec834,12/6/2021,0.38,0.12
a4812789-4bcb-43fb-ae12-36d5830c721a,12/6/2021,0.69,0.07
603bd454-a283-4860-b661-4e3ef464b0d2,12/6/2021,0.81,0.13
1be5bb04-5d57-48a3-84f9-276289d054d2,12/6/2021,0.64,0.03
0d0997c0-e952-46c3-af4d-0a38987ee076,12/6/2021,0.45,0.11
74b9cbf9-0904-41a9-a220-1f66f884ed7c,12/6/2021,0.79,0.25
381c3d67-39d6-4866-8249-05299405d188,12/6/2021,0.79,0.07
fefbb0ca-d5a4-46b0-97ad-855f3a8422bf,12/6/2021,0.75,0.06
f72ce798-c3cf-4edc-a498-14d50cdcea3f,12/6/2021,0.93,0.09
f461930b-f3b0-42a2-989d-21551dd730ad,12/6/2021,0.6,0.02
02671632-5f0f-4c90-9f12-3e2c4bfb6047,12/6/2021,0.41,0.09
ae661bd4-2b78-4ff4-ae05-4e4f7deac1a5,12/6/2021,0.38,0.08
f0b2c986-33c9-421d-b6af-58992d1e96fe,12/6/2021,0.53,0.08
2fd50bf2-e158-4ea6-a6d4-12131d322374,12/6/2021,0.57,0.22
642190f4-6e94-464d-b722-af7053996efe,12/6/2021,0.92,0.08
ad704b7b-12c7-4f01-9610-3e6e298f3452,12/6/2021,0.69,0.05
37e4b055-d577-4400-8fd1-274f30d71edc,12/6/2021,0.29,0.03
62f06879-9a1a-435b-a915-c1dd2c5ebfd5,12/6/2021,0.27,0.07
4378e378-898e-43fd-a1c8-0f22d59621e8,12/6/2021,0.36,0.04
361c6caa-dc5c-44da-aaa2-5c029103a71d,12/6/2021,0.54,0.11
52fb4a5c-dd17-44af-b100-6e184f842f00,12/6/2021,0.56,0.06
071ca342-a7f2-4ce9-84bc-11ee161d5705,12/6/2021,0.24,0.02
0d75521b-a24f-4c4e-be7b-df0bb30a9dff,12/6/2021,0.2,0.04
7cf1aede-04ed-4eb1-9f71-ba1fd95b5dfd,12/6/2021,0.57,0.25
8b4a852b-a20e-4c9a-95cd-fe4a532033a1,12/6/2021,0.66,0.1
801589ab-55c1-48e4-962d-2e6478d895a3,12/6/2021,0.71,0.08
c34b2754-b2cb-425b-a60d-de89fa45cce3,12/6/2021,0.39,0.01
7951e2bb-05d4-468b-a745-4b4f87e548b3,12/6/2021,0.59,0.07
7ea0bde7-40e4-4e95-b783-1e2baf776393,12/6/2021,0.67,0.12
ca40054a-bcca-4503-81fb-6fe56f9a34da,12/6/2021,0.4,0.01
92679160-f742-4424-a6df-b6424ee49c81,12/6/2021,0.66,0.08
05b21f09-82bd-4700-b129-2924d9caa0c8,12/6/2021,0.66,0.07
71ed57b7-5990-4be1-9e7c-86c2d579dba0,12/6/2021,0.56,0.06
684e978b-efc4-4507-a42b-12f8d5b1d842,12/6/2021,0.89,0.08
64f548b6-2c66-4147-8968-03edf1b70730,12/6/2021,0.59,0.05
795d9d2a-a0fc-414d-b619-f17396891511,12/6/2021,0.87,0
2ec463b6-2ce4-4938-b498-c41c7a7bdc1b,12/6/2021,0.46,0.14
be042639-a971-4776-95f4-fc9f30037c10,12/6/2021,0.73,0.04
4ecf9a1e-c057-42ad-ba2f-7c7a4899b97f,12/6/2021,0.44,0.05
2381265f-c6b6-4eed-b612-05be3016ce84,12/6/2021,0.52,0.16
64d16747-31a1-4ba2-9e92-0107b7d6bdcd,12/6/2021,0.48,0.12
a1446a7d-2373-4286-b148-572dbc29cc4b,12/6/2021,0.85,0
39a93eed-1532-4233-bfcd-a5bb02e1f92c,12/6/2021,0.78,0.12
0abee682-7cb7-4a49-97e0-a112d05f2dac,12/6/2021,0.63,0.14
aa05f6a1-8660-4113-a6c1-9e9bf82093c4,12/6/2021,0.41,0.09
dd164ab0-f7f4-4507-bdc1-a30f5e99d087,12/6/2021,0.4,0.02
622b18b7-3b97-43fa-adbd-1fc73ed9573e,12/6/2021,0.69,0.12
5c22280d-5979-4ca7-99a1-86b5dd3f985c,12/6/2021,0.82,0.12
fcd39e00-30e7-4893-9a26-907e29d33f22,12/6/2021,0.99,0.11
2a85ec6d-8a56-46b5-93c4-8b93076a24f7,12/6/2021,0.53,0.05
7e574e04-e42e-4b40-b9bc-e4fc99f92822,12/6/2021,0.56,0.03
60e24218-a9cd-4344-a79e-ddbc78345e34,12/6/2021,0.78,0.1
1c91b39f-dd34-4a88-90a2-88c75dd4c286,12/6/2021,0.6,0.05
fed9343c-8330-415e-ac41-9882cfa6d0e1,12/6/2021,0.47,0.05
e351c89a-c080-4e55-a68f-967d30651a76,12/6/2021,0.63,0.04
208e8401-5bae-45ec-aa3d-4f27c9d708af,12/6/2021,0.54,0.04
c4328d0c-7df6-458b-9ee3-c355a0489473,12/6/2021,0.57,0.06
10374e3b-1a64-4f83-86f6-56a0707cfb4d,12/6/2021,0.64,0.03
b8c485ab-cce7-4208-9954-a0bb9cae8829,12/6/2021,0.94,0.12
e4849005-bd6f-4c44-bfb5-09c0a70c672c,12/6/2021,0.85,0.08
4e7ce887-6332-4c87-883b-2704ca6279ee,12/6/2021,0.29,0.02
e989d85d-3796-4958-97d5-a5e1bbbf5b4e,12/6/2021,0.6,0.06
27b43006-eaa1-4cab-9d4d-7d964ff20c01,12/6/2021,0.64,0.05
34e8476d-0af3-4470-ac87-9889108f6e8f,12/6/2021,0.85,0.12
be275976-4a8e-40bf-8213-2c587daf70f1,12/6/2021,0.57,0.2
4f6a3fd2-2312-467b-9f34-c53d07e19cf5,12/6/2021,0.92,0.13
18c8be73-4d81-4e14-8494-1250fd058c63,12/6/2021,0.74,0.19
12cce7e4-6774-48cd-9531-199103526b35,12/6/2021,0.43,0.07
72726042-8296-4d3e-8e92-b3af8796cadf,12/6/2021,0.94,0.11
2ecba62e-b89d-43bd-a5e9-5fb29d7a28f0,12/6/2021,0.47,0.03
5712a5e8-5ea7-4eb1-adc2-2b20189635ed,12/6/2021,0.69,0.11
fc566d15-8f50-45e5-b053-dbacc66156b8,12/6/2021,0.77,0.37
fc27465a-f75d-4e44-ac84-bd12d2e582d3,12/6/2021,1,0.05
c596538a-c369-4e99-bc47-8619c87ba857,12/6/2021,0.6,0.04
f2c89862-5ac2-46ed-887f-e84b0105d3a4,12/6/2021,0.44,0.07
39c5f6d9-7c79-415c-93d9-0ebfc8e44333,12/6/2021,0.55,0.06
aa0c2e75-7b43-49a2-9249-b931436539b2,12/6/2021,0.46,0.16
cc955133-9e3a-4959-bc22-4eebe4236412,12/6/2021,0.79,0.07
f8acbfc6-dbf5-42ec-9ae2-64c90874d815,12/6/2021,0.86,0.15
e568f1b6-230d-4f02-9a48-b3b1f6abe06c,12/6/2021,0.55,0.15
ca28e5e6-0944-4cac-9e92-1741421e0165,12/6/2021,0.83,0.05
f635fe03-ca19-46c2-be6a-e7d0ed94ba26,12/6/2021,0.44,0.12
10331f84-271a-4d04-87db-c1f06705b140,12/13/2021,0.48,0.07
1875f7cb-c20f-4032-8deb-c49d1e6cea2e,12/13/2021,0.6,0.1
5712a5e8-5ea7-4eb1-adc2-2b20189635ed,12/13/2021,0.73,0.13
4ecf9a1e-c057-42ad-ba2f-7c7a4899b97f,12/13/2021,0.34,0.04
fc566d15-8f50-45e5-b053-dbacc66156b8,12/13/2021,0.15,0.05
fc27465a-f75d-4e44-ac84-bd12d2e582d3,12/13/2021,0.86,0.08
1628d416-3002-4cec-8f38-1453b708e531,12/13/2021,0.65,0.03
7043246b-2b90-4673-ba40-920dc13eb064,12/13/2021,0.62,0.06
0abee682-7cb7-4a49-97e0-a112d05f2dac,12/13/2021,0.73,0.18
f72ce798-c3cf-4edc-a498-14d50cdcea3f,12/13/2021,0.84,0.07
7894e94d-6a17-4814-8064-c5e779834dca,12/13/2021,0.6,0.12
0cae36d8-3521-4112-bbeb-a937995f220c,12/13/2021,0.37,0.03
9dc18c52-52d1-492e-a951-961da5bd2c55,12/13/2021,0.97,0.04
622b18b7-3b97-43fa-adbd-1fc73ed9573e,12/13/2021,0.39,0.06
f68b9f60-5b50-49d1-9617-a081765fd6ac,12/13/2021,0.6,0.14
7e574e04-e42e-4b40-b9bc-e4fc99f92822,12/13/2021,0.73,0.04
d1326348-cea6-4e6b-bf82-b536959797ad,12/13/2021,0.64,0.07
b507b4f1-435b-4096-903c-8a8b8ffcdcaf,12/13/2021,0.52,0.15
0c09298b-4156-483c-b8ca-f7bff13693d3,12/13/2021,0.53,0.09
3e54b77a-edb6-4ef5-bc18-3a777cdc4159,12/13/2021,0.47,0.09
fed9343c-8330-415e-ac41-9882cfa6d0e1,12/13/2021,0.53,0.03
5dd17596-5fbf-45e0-83fc-03051c652f3e,12/13/2021,0.7,0.11
0c219f52-1435-4b21-994a-6a3bd25d974e,12/13/2021,0.61,0
33e193cf-2ae5-4763-a586-7d90d15746ca,12/13/2021,0.49,0.06
8b58fe38-1968-41e3-ae48-581e0bf98a2b,12/13/2021,0.37,0.05
e4849005-bd6f-4c44-bfb5-09c0a70c672c,12/13/2021,0.81,0.12
a98816f6-2b91-4712-88f8-6a59f1fcb8f7,12/13/2021,0.34,0.05
4e7ce887-6332-4c87-883b-2704ca6279ee,12/13/2021,0.26,0.02
1e2a43b1-10c7-4530-8582-9004904da430,12/13/2021,0.51,0.07
c0f9c90a-44fa-4249-a8a3-7629576c1d0e,12/13/2021,0.43,0.08
23767254-acb5-4577-b91d-899f148305b7,12/13/2021,0.3,0.04
67708ccc-f79e-4fa4-9e07-bf70ef8f59e8,12/13/2021,0.3,0.04
27b43006-eaa1-4cab-9d4d-7d964ff20c01,12/13/2021,0.61,0.05
be275976-4a8e-40bf-8213-2c587daf70f1,12/13/2021,0.43,0.13
4f6a3fd2-2312-467b-9f34-c53d07e19cf5,12/13/2021,0.78,0.27
71ed57b7-5990-4be1-9e7c-86c2d579dba0,12/13/2021,0.58,0.03
067be17a-38d3-4a03-89f6-8755902ded15,12/13/2021,0.41,0.06
a4812789-4bcb-43fb-ae12-36d5830c721a,12/13/2021,0.55,0.05
2ecba62e-b89d-43bd-a5e9-5fb29d7a28f0,12/13/2021,0.39,0.02
2ec463b6-2ce4-4938-b498-c41c7a7bdc1b,12/13/2021,0.68,0.1
0d0997c0-e952-46c3-af4d-0a38987ee076,12/13/2021,0.2,0
8cf8b7ca-781e-46d5-a928-a60a736646a1,12/13/2021,0.98,0.04
74b9cbf9-0904-41a9-a220-1f66f884ed7c,12/13/2021,0.77,0.3
381c3d67-39d6-4866-8249-05299405d188,12/13/2021,0.69,0.08
2381265f-c6b6-4eed-b612-05be3016ce84,12/13/2021,0.46,0.07
c596538a-c369-4e99-bc47-8619c87ba857,12/13/2021,0.45,0.04
aa05f6a1-8660-4113-a6c1-9e9bf82093c4,12/13/2021,0.34,0.08
f461930b-f3b0-42a2-989d-21551dd730ad,12/13/2021,0.63,0.06
cc955133-9e3a-4959-bc22-4eebe4236412,12/13/2021,0.9,0.11
e568f1b6-230d-4f02-9a48-b3b1f6abe06c,12/13/2021,0.54,0.13
ab0c2d68-737b-4b39-a2bd-a57068184096,12/13/2021,0.63,0.09
ca28e5e6-0944-4cac-9e92-1741421e0165,12/13/2021,0.84,0.05
42d1861f-7e1c-4d83-b912-84a7351870c4,12/13/2021,0.96,0.06
fcd39e00-30e7-4893-9a26-907e29d33f22,12/13/2021,0.99,0.12
60e24218-a9cd-4344-a79e-ddbc78345e34,12/13/2021,0.7,0.05
4378e378-898e-43fd-a1c8-0f22d59621e8,12/13/2021,0.4,0.07
1c91b39f-dd34-4a88-90a2-88c75dd4c286,12/13/2021,0.51,0.07
361c6caa-dc5c-44da-aaa2-5c029103a71d,12/13/2021,0.43,0.07
d5b92e0a-b71d-4fe4-9590-c784e402246a,12/13/2021,0.52,0.04
38672f8a-80f5-4d99-8bc2-687bf3bbbc6c,12/13/2021,0.23,0.06
10374e3b-1a64-4f83-86f6-56a0707cfb4d,12/13/2021,0.38,0.03
7cf1aede-04ed-4eb1-9f71-ba1fd95b5dfd,12/13/2021,0.67,0.27
e989d85d-3796-4958-97d5-a5e1bbbf5b4e,12/13/2021,0.5,0
d0233aeb-ef6b-4576-a686-6d268a3e1edf,12/13/2021,0.54,0.07
dd4c536a-7a0f-47d8-a2cd-8bac1938af4a,12/13/2021,0.41,0.05
c34b2754-b2cb-425b-a60d-de89fa45cce3,12/13/2021,0.49,0.05
77e1eae2-e66e-4aaa-8fc5-6f0c0b02489e,12/13/2021,0.72,0.22
7951e2bb-05d4-468b-a745-4b4f87e548b3,12/13/2021,0.64,0.07
92679160-f742-4424-a6df-b6424ee49c81,12/13/2021,0.55,0.07
05b21f09-82bd-4700-b129-2924d9caa0c8,12/13/2021,0.7,0.1
ef28088d-577c-444a-9198-53d9223ec834,12/13/2021,0.28,0.05
684e978b-efc4-4507-a42b-12f8d5b1d842,12/13/2021,0.85,0.11
315b1906-7c4a-4c88-ae96-5078475a0d1a,12/13/2021,0.26,0.03
795d9d2a-a0fc-414d-b619-f17396891511,12/13/2021,0.65,0.29
1be5bb04-5d57-48a3-84f9-276289d054d2,12/13/2021,0.78,0.1
64923075-5efb-4956-9b69-3b888ad7678e,12/13/2021,0.46,0.07
6fbd88da-fc22-4f26-b7ea-79e70a7b7f27,12/13/2021,0.47,0.11
64d16747-31a1-4ba2-9e92-0107b7d6bdcd,12/13/2021,0.43,0.09
a1446a7d-2373-4286-b148-572dbc29cc4b,12/13/2021,0.82,0.03
43d997ed-0f61-4f2e-9b3a-8d8fccadac37,12/13/2021,0.35,0.06
02671632-5f0f-4c90-9f12-3e2c4bfb6047,12/13/2021,0.52,0.1
f0b2c986-33c9-421d-b6af-58992d1e96fe,12/13/2021,0.59,0.14
08f7a590-fed1-4df5-9509-b951bce99408,12/13/2021,0.51,0.02
642190f4-6e94-464d-b722-af7053996efe,12/13/2021,0.87,0.08
ad704b7b-12c7-4f01-9610-3e6e298f3452,12/13/2021,0.61,0.1
99e0998d-8450-4e08-a69a-91fdbfb2881c,12/13/2021,0.37,0.04
62f06879-9a1a-435b-a915-c1dd2c5ebfd5,12/13/2021,0.24,0.06
2a85ec6d-8a56-46b5-93c4-8b93076a24f7,12/13/2021,0.33,0.05
0bd4c66a-edb4-4b46-b789-903fec02357b,12/13/2021,0.31,0.02
e351c89a-c080-4e55-a68f-967d30651a76,12/13/2021,0.45,0.05
a20cd138-ffad-455d-a834-a6344531b3dc,12/13/2021,0.59,0.1
